Controller,View,page_id,Dbconnection,Stored Procedure for controller,Appicalls,Stored Procedure for Appicalls
WorkingPaper,voucher_checking,234,,,/ApiCalls/Get_Working_Paper_Voucher_Checking,
WorkingPaper,voucher_checking,234,,,/ApiCalls/Add_Working_Paper_Voucher_Checking,
WorkingPaper,voucher_checking,234,,,/ApiCalls/Get_Working_Paper_Voucher_Checking,
WorkingPaper,voucher_checking,234,,,/ApiCalls/Add_Working_Paper_Voucher_Checking,
WorkingPaper,voucher_checking,234,,,/WorkingPaper/account_opening?engId=,
WorkingPaper,voucher_checking,234,,,/WorkingPaper/loan_case_file?engId=,
WorkingPaper,account_opening,235,,,/ApiCalls/Get_Working_Paper_Account_Opening,
WorkingPaper,account_opening,235,,,/ApiCalls/Add_Working_Paper_Account_Opening,
WorkingPaper,account_opening,235,,,/ApiCalls/Get_Working_Paper_Account_Opening,
WorkingPaper,account_opening,235,,,/ApiCalls/Add_Working_Paper_Account_Opening,
WorkingPaper,account_opening,235,,,/WorkingPaper/fixed_assets?engId=,
WorkingPaper,account_opening,235,,,/WorkingPaper/voucher_checking?engId=,
WorkingPaper,fixed_assets,236,,,/ApiCalls/Get_Working_Paper_Fixed_Assets,
WorkingPaper,fixed_assets,236,,,/ApiCalls/Add_Working_Paper_Fixed_Assets,
WorkingPaper,fixed_assets,236,,,/ApiCalls/Get_Working_Paper_Fixed_Assets,
WorkingPaper,fixed_assets,236,,,/ApiCalls/Add_Working_Paper_Fixed_Assets,
WorkingPaper,fixed_assets,236,,,/WorkingPaper/cash_count?engId=,
WorkingPaper,fixed_assets,236,,,/WorkingPaper/account_opening?engId=,
WorkingPaper,loan_case_file,233,,,/ApiCalls/Get_Working_Paper_Loan_Cases,
WorkingPaper,loan_case_file,233,,,/ApiCalls/Add_Working_Paper_Loan_Cases,
WorkingPaper,loan_case_file,233,,,/ApiCalls/Get_Working_Paper_Loan_Cases,
WorkingPaper,loan_case_file,233,,,/ApiCalls/Add_Working_Paper_Loan_Cases,
WorkingPaper,loan_case_file,233,,,/WorkingPaper/voucher_checking?engId=,
WorkingPaper,cash_count,237,,,/ApiCalls/Get_Working_Paper_Cash_Counter,
WorkingPaper,cash_count,237,,,/ApiCalls/Add_Working_Paper_Cash_Counter,
WorkingPaper,cash_count,237,,,/ApiCalls/Get_Working_Paper_Cash_Counter,
WorkingPaper,cash_count,237,,,/WorkingPaper/fixed_assets?engId=,
WorkingPaper,cash_count,237,,,/ApiCalls/Add_Working_Paper_Cash_Counter,
Execution,branch_deposit_info,88,,,/ApiCalls/GetDepositAccountSubdetails,
Execution,branch_deposit_info,88,,,/ApiCalls/GetDepositAccountSubdetails,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/checklist_details,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/save_observations,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_employee_name_from_pp,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_lc_details,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_subchecklist_status,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_observation_text_branches,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/checklist_details,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/save_observations,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_employee_name_from_pp,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_lc_details,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_subchecklist_status,
Execution,checklist_details,77,GetAnnexuresForChecklistDetail,,/ApiCalls/get_observation_text_branches,
Execution,checklist_details,77,GetRisks,,/ApiCalls/checklist_details,
Execution,checklist_details,77,GetRisks,,/ApiCalls/save_observations,
Execution,checklist_details,77,GetRisks,,/ApiCalls/get_employee_name_from_pp,
Execution,checklist_details,77,GetRisks,,/ApiCalls/get_lc_details,
Execution,checklist_details,77,GetRisks,,/ApiCalls/get_subchecklist_status,
Execution,checklist_details,77,GetRisks,,/ApiCalls/get_observation_text_branches,
Execution,checklist_details,77,GetRisks,,/ApiCalls/checklist_details,
